               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.015136,           0.0051853,          0.00076011,             0.90513,              0.9583,             0.97738,             0.84224,            0.014029,           0.0050028,          0.00051647,           0.0022196,           0.0022196,           0.0022196
                  78,             0.01448,           0.0051458,          0.00069248,             0.88107,             0.99214,             0.97876,             0.84282,            0.013294,           0.0049495,          0.00049438,           0.0021245,           0.0021245,           0.0021245
                  79,            0.014765,           0.0049194,           0.0007855,             0.91526,              0.9559,             0.97807,             0.85353,            0.013071,           0.0047803,           0.0004664,           0.0020327,           0.0020327,           0.0020327
                  80,            0.014616,           0.0050476,          0.00074723,             0.89403,             0.98433,             0.97893,             0.85008,             0.01331,           0.0047939,          0.00045798,           0.0019443,           0.0019443,           0.0019443
                  81,            0.014129,           0.0048632,          0.00064079,             0.90927,             0.97014,             0.97849,             0.84614,            0.013229,           0.0048401,          0.00044603,           0.0018594,           0.0018594,           0.0018594
                  82,            0.014267,           0.0049502,          0.00064895,             0.89428,             0.98452,             0.98065,             0.85265,            0.013129,           0.0048498,          0.00041429,           0.0017781,           0.0017781,           0.0017781
                  83,            0.014689,            0.004741,          0.00066486,             0.90785,             0.97216,             0.98057,             0.84987,              0.0134,           0.0048398,          0.00040638,           0.0017005,           0.0017005,           0.0017005
                  84,            0.014382,           0.0046705,          0.00063162,             0.91669,             0.96521,             0.98059,             0.84686,             0.01325,           0.0047721,          0.00039794,           0.0016267,           0.0016267,           0.0016267
                  85,            0.013662,           0.0049313,           0.0007103,             0.92154,             0.95344,             0.97975,             0.85202,            0.013003,            0.004767,          0.00039443,           0.0015566,           0.0015566,           0.0015566
                  86,            0.013567,            0.005003,          0.00063939,             0.91389,             0.97191,             0.98121,             0.85962,            0.012737,           0.0047016,          0.00038955,           0.0014905,           0.0014905,           0.0014905
                  87,             0.01395,           0.0049294,          0.00069178,             0.91717,             0.96132,             0.98042,             0.85783,            0.012763,            0.004756,            0.000387,           0.0014283,           0.0014283,           0.0014283
                  88,            0.013731,           0.0047654,          0.00059306,             0.91656,             0.97042,             0.98041,             0.86089,            0.012523,           0.0047144,          0.00037023,           0.0013701,           0.0013701,           0.0013701
                  89,            0.013842,           0.0047857,          0.00048604,             0.90968,             0.96487,             0.97867,             0.85634,             0.01273,           0.0047912,          0.00036335,            0.001316,            0.001316,            0.001316
                  90,            0.013755,           0.0046255,          0.00060824,             0.90049,             0.97681,             0.97974,               0.859,            0.012752,           0.0047319,          0.00034992,            0.001266,            0.001266,            0.001266
                  91,            0.013717,           0.0048205,           0.0005835,             0.88358,             0.99265,             0.97938,             0.85914,            0.012739,           0.0048477,          0.00034036,           0.0012202,           0.0012202,           0.0012202
                  92,            0.014295,           0.0047665,          0.00062385,             0.91275,              0.9693,             0.97889,             0.85517,            0.012842,           0.0047645,          0.00034344,           0.0011787,           0.0011787,           0.0011787
                  93,            0.013758,           0.0045446,           0.0005577,             0.90978,             0.97144,             0.97822,             0.85426,            0.012649,           0.0046942,          0.00034073,           0.0011414,           0.0011414,           0.0011414
                  94,            0.013886,           0.0047933,          0.00061606,             0.91938,             0.96737,             0.97866,             0.85737,            0.012755,           0.0046632,          0.00034005,           0.0011084,           0.0011084,           0.0011084
                  95,             0.01335,           0.0045603,          0.00050399,             0.91534,             0.97483,             0.97875,             0.85838,            0.012579,           0.0047132,          0.00033513,           0.0010797,           0.0010797,           0.0010797
                  96,            0.013155,           0.0047339,          0.00054476,             0.91482,             0.97367,             0.97924,             0.85351,            0.012587,           0.0047134,          0.00033105,           0.0010554,           0.0010554,           0.0010554
                  97,            0.013777,           0.0043976,           0.0005414,             0.91752,             0.96985,             0.97886,             0.85829,             0.01258,           0.0047014,          0.00032067,           0.0010355,           0.0010355,           0.0010355
                  98,            0.013389,           0.0045177,          0.00056771,              0.8932,             0.98225,             0.97863,             0.85943,             0.01236,           0.0046974,          0.00031283,             0.00102,             0.00102,             0.00102
                  99,            0.013069,           0.0046773,          0.00054121,             0.88912,             0.99187,             0.97925,             0.85283,            0.012606,           0.0047244,          0.00030678,           0.0010089,           0.0010089,           0.0010089
